1,喫茶たいむましん,キッサタイムマシン,林　 千春
2,小料理なんごく,コリョウリナンゴク,河本 なみ
3,割烹ふじい,カッポウフジイ,山久 良美
4,海鮮料理くじら,カイセンリョウリクジラ,和辺 義隆
5,居酒屋ななべえ,イザカヤナナベエ,渡川 秀人
6,酒蔵でん,サカグラデン,小田 勝也
7,寿ストアー,コトブキストアー,池林 裕香
8,温泉レストラン,オンセンレストラン,池山 剛司
9,大和マーケット,ヤマトマーケット,木山 勇
10,東海道スーパー,トウカイドウスーパー,鈴藤 哲也
11,小町ストアー,コマチストアー,佐本 久明
12,北冷マート,ホクレイマート,坂田 由利
13,札幌フード,サッポロフード,園村 真一
14,雪花ガーデン,ユキハナガーデン,田本 千賀
15,城元株式会社,シロモトカブシキガイシャ,山水 伸俊
16,宮株式会社,ミヤカブシキガイシャ,清岡 裕美子
17,月野株式会社,ツキノカブシキガイシャ,武島 友子
18,葉薄ふぁん,ハウスファン,大田 泰江
19,屋台すまいる,ヤタイスマイル,島中 和明
20,商店せんしょう,ショウテンセンショウ,田山 雄一
21,名店はかたっこ,メイテンハカタッコ,玉原 義弘
22,食所あんどう,ショクドコロアンドウ,木原 晃一
23,自然食なちゅらる,シゼンショクナチュラル,鈴崎 礼子
24,惣菜びみ,ソウザイビミ,村中 真人
25,洋食ちくさ,ヨウショクチクサ,渡　 浩志
26,小料理ひろ,コリョウリヒロ,辺上 寿生
27,洋風居酒屋けい・えっくす,ヨウフウイザカヤケイ・エックス,森野 恭久
28,料亭きゅうきゅう,リョウテイキュウキュウ,河垣 加奈子
29,食料品店ふじ,ショクリョウヒンテンフジ,柴瀬 満
30,夷そば,エビスソバ,岩村 浩之
31,びしゃもんや,ビシャモンヤ,西詰 幸造
32,コンビニエンス北風,コンビニエンスキタカゼ,所　 政司
33,笹の葉食料品店,ササノハショクリョウヒンテン,塚田 冬美
34,ジャンボストアー,ジャンボストアー,上川 昌真
35,よろず商店,ヨロズショウテン,川井 伸好
36,山門屋,ヤマトヤ,横浦 幸雄
37,イルカランド,イルカランド,箕村 綾子
38,大宮ユニオン,オオミヤユニオン,野内 良昭
39,アリス亭,アリステイ,内藤 一志
40,みちのく本陣,ミチノクホンジン,瀬　 知子
41,ポム・ド・テール,ポム・ド・テール,若本 喜一
42,コーヒーハウスフェンス,コーヒーハウスフェンス,宮部 圭江
43,甘味喫茶ダイ,カンミキッサダイ,越安 辰夫
44,蓬莱堂,ホウライドウ,中田 栄
45,健食弁当株式会社,ケンショクベントウカブシキガイシャ,林　 智由
46,ヒロコーポレーション,ヒロコーポレーション,小熊 一之
47,浜辺商店,ハマベショウテン,古井 広宣
48,レストラン石坂,レストランイシザカ,佐賀 明美
49,パーラーえんとつ,パーラーエントツ,川田 隆裕
50,高原亭,コウゲンテイ,山神 祐子
51,からんころん,カランコロン,江田 真理子
